Sektör;Yýl;Akdeniz-TR6;Batý Anadolu-TR5;Batý Karadeniz-TR8;Batý Marmara-TR2;Doðu Karadeniz-TR9;Doðu Marmara-TR4;Ege-TR3;Güneydoðu Anadolu-TRC;Kuzeydoðu Anadolu-TRA;Orta Anadolu-TR7;Ortadoðu Anadolu-TRB;Ýstanbul-TR1
;2016;228915233;267090859;90444132;97606915;52728081;263287504;286398877;125135077;34484351;84423976;55226626;713154834
;2017;273049024;314399475;105399360;117991772;63243163;321732918;345512589;148729259;40641895;100411138;63792047;861852610
;2018;334065865;374908707;125246335;143496871;75101286;397585590;425345506;181341203;48646543;119339368;75598349;1034537604
Gayrisafi Yurtiçi Hasýla;2004;59402598;69123850;25193859;25760045;13554294;59766562;77861667;28328159;9137393;22544333;13331693;173019044
;2005;69357308;81283724;28795843;30011981;16611303;71312041;89742491;32644106;10216390;26291127;16118338;201318292
;2006;80339428;95367889;32997472;34101589;19370023;85787727;106046502;38343401;11749576;29903616;18159265;237061067
;2007;90051424;109299123;36202753;38191206;21198880;96266990;114295796;41882362;13001526;33042775;20471439;266556605
;2008;101431894;122946143;41761579;43691798;24054446;109384934;128334090;47021731;14567654;37038882;23164612;301385096
;2009;103266229;125316294;42050731;44251982;24171226;106552977;127484377;48343566;15533022;37749795;24114454;300357195
;2010;124581677;139105344;49150687;52315430;28190780;123802448;147820408;59149195;19001774;45020244;28339864;343536128
;2011;146917568;164365125;57840941;62004780;32535777;153832991;177210531;71053915;21863675;54223262;33772684;418855917
;2012;162029001;180656437;64570263;68834073;37164108;173477103;201140529;81386026;25204746;59672817;39637864;475899149
;2013;183644521;210474820;73200155;77136649;42021288;204409872;229070892;96123739;27748852;68141769;44889376;552851154
;2014;208338126;236758968;81516532;88087842;47554199;232915559;260000137;110186791;30567575;76379737;49398799;622761611
;2015;237269142;268791399;92744212;97973516;56786773;267159136;290694086;127485501;34887262;86649841;55639588;722567040
;2016;259746922;303064272;102625695;110753205;59829818;298748658;324972811;141989026;39128912;95794708;62664882;809206842
;2017;308101340;354760103;118929867;133138814;71361923;363034967;389867323;167822186;45859245;113301288;71981269;972491829
;2018;373046876;418655531;139860905;160241034;83864600;443978503;474977629;202501293;54322943;133264674;84419664;1155254285
Vergi-Sübvansiyonlar;2004;7490912;8716802;3177049;3248448;1709252;7536810;9818677;3572298;1152263;2842933;1681181;21818414
;2005;8791113;10302799;3649904;3804051;2105500;9038878;11374957;4137675;1294938;3332429;2043017;25517310
;2006;10074982;11959629;4138055;4276516;2429102;10758227;13298783;4808462;1473458;3750069;2277266;29728690
;2007;10248643;12439200;4120191;4346495;2412619;10956029;13007865;4766581;1479688;3760558;2329830;30336483
;2008;11128730;13489194;4581925;4793702;2639164;12001308;14080339;5159050;1598309;4063769;2541535;33066853
;2009;11173081;13558829;4549757;4787925;2615251;11528697;13793409;5230622;1680624;4084409;2609108;32497704
;2010;15046646;16800776;5936290;6318519;3404808;14952533;17853359;7143884;2294984;5437426;3422814;41491386
;2011;17676891;19776153;6959331;7460318;3914654;18508944;21321693;8549095;2630603;6524058;4063476;50396086
;2012;19020124;21206745;7579720;8080236;4362589;20363984;23611315;9553674;2958714;7004822;4652976;55864448
;2013;22770255;26096968;9076155;9564245;5210258;25344970;28402712;11918472;3440606;8448961;5565875;68548528
;2014;24077331;27361886;9420746;10180183;5495769;26917709;30047834;12734126;3532650;8827094;5708947;71971645
;2015;28196642;31942691;11021557;11642998;6748439;31748716;34545568;15150150;4145940;10297313;6612110;85868580
;2016;30831689;35973413;12181563;13146290;7101737;35461154;38573934;16853949;4644561;11370732;7438256;96052008
;2017;35052317;40360628;13530507;15147042;8118760;41302049;44354734;19092927;5217351;12890150;8189222;110639219
;2018;38981011;43746824;14614570;16744163;8763314;46392913;49632123;21160089;5676400;13925306;8821315;120716680
;;;;;;;;;;;;;
