Ölçüm;Yýl;Adana;Adýyaman;Afyonkarahisar;Aksaray;Amasya;Ankara;Antalya;Ardahan;Artvin;Aydýn;Aðrý;Balýkesir;Bartýn;Batman;Bayburt;Bilecik;Bingöl;Bitlis;Bolu;Burdur;Bursa;Denizli;Diyarbakýr;Düzce;Edirne;Elazýð;Erzincan;Erzurum;Eskiþehir;Gaziantep;Giresun;Gümüþhane;Hakkari;Hatay;Isparta;Iðdýr;Kahramanmaraþ;Karabük;Karaman;Kars;Kastamonu;Kayseri;Kilis;Kocaeli;Konya;Kütahya;Kýrklareli;Kýrýkkale;Kýrþehir;Malatya;Manisa;Mardin;Mersin;Muðla;Muþ;Nevþehir;Niðde;Ordu;Osmaniye;Rize;Sakarya;Samsun;Siirt;Sinop;Sivas;Tekirdað;Tokat;Trabzon;Tunceli;Uþak;Van;Yalova;Yozgat;Zonguldak;Çanakkale;Çankýrý;Çorum;Ýstanbul;Ýzmir;Þanlýurfa;Þýrnak
;2015;4231;307;790;1023;685;13549;5968;350;1213;3429;1082;2708;1424;769;306;0;820;551;2328;1103;4801;1792;1077;500;922;2043;406;251;4021;4158;1443;315;500;5133;934;505;2912;1161;781;659;1201;4599;999;5497;6422;2417;1308;342;286;4711;2600;1717;7505;4293;510;1608;369;3107;876;825;3496;2827;1138;1496;1793;3031;1151;5570;280;694;658;789;931;2450;1182;319;768;76749;23616;1672;180
;2016;4615;915;750;1043;905;14857;5304;0;837;4360;1078;3008;850;1410;272;0;2050;875;2323;2112;4423;3258;3093;650;2060;2090;0;251;4024;7296;1033;350;360;3972;934;460;2207;1271;371;657;1702;5546;910;5512;6036;1413;1228;342;286;3716;2769;890;6690;6958;530;1954;369;2891;1193;2275;2433;2727;650;1626;1444;2354;1151;4828;740;554;380;799;1666;3965;2550;319;768;69493;21977;1927;0
;2017;6646;1030;750;1043;2020;21599;5813;430;1177;3770;1214;5828;627;290;272;680;1470;619;2729;609;4093;3251;3198;1450;3828;968;0;226;5197;5969;626;315;300;4462;1000;360;3172;1525;791;657;1704;5281;880;5822;7590;1420;1223;342;286;3997;2899;260;9211;6360;763;1779;369;3135;523;1492;3331;2119;188;1390;1446;4886;1110;3710;530;554;395;1519;1005;3800;3340;319;768;71603;28271;1590;0
;2018;7395;1340;750;743;1264;21623;6603;250;787;4766;988;7468;827;280;272;800;1400;420;2023;1113;4748;6599;3971;800;3817;2082;260;726;5416;5201;460;575;280;3830;1690;610;2638;1227;371;657;2390;6207;320;7277;6018;1374;1163;342;1216;3523;3917;885;7746;6387;3236;1580;369;3838;1253;1905;3705;2535;186;1020;1443;4476;1110;4812;530;1600;585;799;1414;3141;4186;319;768;80781;28374;3870;809
Seyirci Sayýsý;2000;67956;2200;0;0;0;440359;63097;0;0;15000;0;0;12000;33094;0;0;0;0;0;0;95693;0;78251;0;19500;7550;0;55556;8400;0;5378;0;0;5000;12000;0;0;0;0;0;0;0;0;14446;29622;0;0;0;0;9400;0;0;20145;800;0;0;0;0;0;0;0;21855;0;0;46469;0;0;44189;0;0;39346;7540;0;6400;0;0;15706;2420127;149083;0;0
;2001;32410;0;0;0;0;358521;149463;0;0;11538;0;0;13200;0;0;0;0;0;0;0;96134;0;37601;0;30000;0;0;24837;23809;0;5140;0;0;3000;0;0;0;0;0;0;0;0;0;43906;34515;0;0;0;0;19000;0;0;37960;750;0;0;0;16829;0;0;0;66285;0;0;33523;0;0;44341;0;0;24105;0;0;7200;0;0;800;1320639;134614;0;0
;2002;54454;0;0;0;0;623784;65185;0;0;237404;0;0;10200;0;0;0;0;0;0;0;72642;0;24325;0;0;200;0;36145;20179;0;6043;0;0;2000;900;0;9300;0;0;3947;0;12611;0;0;39456;0;0;0;0;0;0;0;14227;1200;0;0;0;0;0;0;0;53400;0;0;32497;0;4500;46834;0;0;27835;0;0;3600;0;0;1000;1092358;138615;0;0
;2003;147871;0;0;0;0;610951;62659;0;0;5000;0;0;0;0;0;0;0;0;0;0;86260;0;26075;0;0;600;0;32914;0;0;9150;0;0;0;2000;0;0;0;0;9901;0;14368;0;12000;55719;0;0;0;0;0;0;41529;5012;1200;0;0;0;0;0;0;0;49110;0;0;35508;0;1800;10000;0;0;30219;0;0;3000;0;0;0;1310688;194672;0;0
;2004;87473;0;0;0;0;616287;52761;0;0;9406;0;0;0;0;0;0;0;0;0;0;89746;0;20948;0;0;300;0;35864;8928;0;7400;175;2100;1500;0;0;0;0;0;9285;0;2100;0;2000;39672;0;0;0;0;0;0;0;10000;0;3100;0;0;32247;0;0;0;28764;0;8100;31379;0;1600;31430;0;0;45619;0;0;0;0;0;4500;1163411;217396;4000;0
;2005;137520;0;0;0;0;936915;50545;0;0;41468;0;0;0;0;0;0;0;3000;0;0;182764;0;44912;0;0;0;0;39601;14976;0;1600;300;1300;4500;0;0;0;0;0;1814;0;9451;0;29960;48546;0;0;0;0;0;0;0;96950;0;4650;0;0;34000;0;0;0;27243;0;16200;32227;25000;1210;31501;0;0;31521;0;0;0;0;0;22000;683968;159689;920;0
