Ölçüm;Yýl;Adana;Adýyaman;Afyonkarahisar;Aksaray;Amasya;Ankara;Antalya;Ardahan;Artvin;Aydýn;Aðrý;Balýkesir;Bartýn;Batman;Bayburt;Bilecik;Bingöl;Bitlis;Bolu;Burdur;Bursa;Denizli;Diyarbakýr;Düzce;Edirne;Elazýð;Erzincan;Erzurum;Eskiþehir;Gaziantep;Giresun;Gümüþhane;Hakkari;Hatay;Isparta;Iðdýr;Kahramanmaraþ;Karabük;Karaman;Kars;Kastamonu;Kayseri;Kilis;Kocaeli;Konya;Kütahya;Kýrklareli;Kýrýkkale;Kýrþehir;Malatya;Manisa;Mardin;Mersin;Muðla;Muþ;Nevþehir;Niðde;Ordu;Osmaniye;Rize;Sakarya;Samsun;Siirt;Sinop;Sivas;Tekirdað;Tokat;Trabzon;Tunceli;Türkiye;Uþak;Van;Yalova;Yozgat;Zonguldak;Çanakkale;Çankýrý;Çorum;Ýstanbul;Ýzmir;Þanlýurfa;Þýrnak
;2015;765;29;245;59;109;4550;1951;0;63;513;55;637;52;343;0;92;58;25;176;97;1407;344;952;85;307;186;22;308;623;1270;162;0;0;885;158;0;366;152;148;92;131;666;62;1121;962;430;88;165;68;310;510;106;454;767;106;439;103;295;137;191;618;590;326;0;200;385;746;630;8;49151;226;173;410;169;412;295;150;211;16096;2722;387;0
;2016;787;60;346;51;109;6073;1964;0;81;685;93;476;100;356;0;137;110;38;230;79;966;678;908;95;337;182;52;484;1786;785;308;0;0;601;270;24;426;242;143;65;109;673;29;1294;1013;282;285;157;97;630;527;171;572;971;69;85;100;413;102;165;636;487;70;0;178;524;430;592;0;53443;323;227;601;111;554;373;232;258;16806;2823;347;0
;2017;903;36;337;55;175;4938;2801;0;79;673;125;633;100;475;0;69;83;31;317;68;1693;548;779;294;359;182;82;470;751;707;575;15;25;886;184;40;418;304;169;50;173;614;66;1527;1216;125;190;107;78;380;636;274;794;1006;61;225;80;283;157;127;704;582;113;8;454;698;464;592;0;58214;554;243;561;250;614;294;203;356;19277;3164;535;0
;2018;859;227;333;86;149;5287;2864;0;209;912;110;659;105;471;7;68;113;27;485;53;2240;575;1021;482;506;191;107;536;832;924;381;66;47;1290;358;50;396;321;106;36;422;900;53;1540;1326;148;384;120;75;365;887;260;835;1156;65;304;96;428;124;260;854;542;80;156;386;758;370;660;25;65501;405;244;361;275;681;289;128;507;20930;3860;753;0
Koltuk Sayýsý;2000;6933;317;218;200;450;14239;3701;0;750;2991;0;2406;400;0;0;859;0;0;1274;292;13510;2360;7958;0;953;1220;0;1220;3271;2190;767;0;300;3329;1221;180;1613;750;250;288;170;1403;0;3555;1850;1412;1601;500;0;1925;1734;400;3240;1446;0;300;885;910;650;680;238;1805;550;120;1000;2662;643;375;0;200853;280;868;454;0;3447;2005;0;642;75052;11241;400;0
;2001;5427;0;218;150;350;16957;3839;0;750;1989;0;2448;0;300;0;577;0;0;574;292;4290;1082;1510;245;528;1458;0;960;2704;2148;647;0;350;1495;1000;0;1380;750;478;0;300;903;0;795;1050;712;1703;300;550;1920;2141;75;4121;1513;200;250;765;1010;750;675;238;2230;120;0;1629;1624;800;355;0;139664;280;168;454;155;2147;3095;0;0;42818;8533;389;0
;2002;5381;300;218;650;370;17068;3960;0;450;786;500;1676;369;300;0;0;0;0;915;291;2119;1082;1310;340;939;1448;0;860;1666;2850;349;0;500;2000;1221;0;727;781;228;288;300;903;0;2600;2188;225;800;300;0;1250;0;1350;2822;570;210;200;685;680;750;680;1739;1625;120;0;1596;702;411;853;0;134045;280;0;454;160;410;536;0;237;45535;10532;400;0
;2003;4204;0;390;641;0;19551;2533;0;530;1327;0;2166;369;280;240;430;0;0;915;342;7392;1246;2024;145;325;490;0;1338;2663;3499;645;0;300;2020;1600;0;412;750;228;300;376;515;0;836;1898;320;867;300;0;1250;648;541;2735;1784;0;220;640;660;759;770;238;2109;0;120;1512;1562;776;1058;0;141839;0;0;448;155;1457;320;0;359;46236;10675;400;0
;2004;4715;0;621;955;663;19245;4200;0;650;1282;0;2253;450;290;268;300;0;0;915;394;6288;1633;2015;300;942;913;147;1256;2197;2502;275;0;0;2860;1219;0;1174;750;228;300;376;913;0;1753;3925;265;790;300;0;1050;1620;840;2821;1715;0;652;749;300;750;762;238;2493;0;100;996;1574;766;893;0;145298;467;524;191;155;1474;1409;280;911;38083;12573;390;0
;2005;5247;100;621;655;648;19606;5709;0;670;873;0;2491;459;200;0;372;219;0;914;573;6874;1335;2673;290;943;1069;257;1454;2223;1922;260;0;0;2720;219;0;1184;739;322;271;376;919;0;3960;3977;265;790;640;0;1382;1434;691;2354;1979;0;645;656;574;750;538;2434;2421;0;100;439;1948;667;1284;0;152234;467;524;191;155;937;977;306;1160;40064;11603;515;0
